traffic_day_group,traffic_hour_bucket,traffic_context_key,traffic_speed_source_column,traffic_acceleration_source_column,traffic_speed_mean,traffic_speed_median,traffic_speed_std,traffic_acceleration_mean,traffic_slow_road_fraction,traffic_speed_major,traffic_speed_minor,traffic_speed_residential,traffic_speed_valid_segments,traffic_speed_missing_segments,traffic_acceleration_valid_segments,traffic_acceleration_missing_segments,traffic_slow_speed_threshold_mps
D0,H0.6,D0H0.6,v_D0H0.6,a_D0H0.6,12.859827884001511,13.0,4.833645871125061,0.10647165271882911,0.2676626506024096,16.949214187830343,14.188711183379453,10.97913165816576,31125,23155,30814,23466,10.0
D0,H7.8,D0H7.8,v_D0H7.8,a_D0H7.8,14.073723876000459,14.27871148,5.159039468537219,0.11606056401151334,0.18399959156583448,17.080790874923434,14.287264546163522,12.327865993288249,19587,34693,19282,34998,10.0
D0,H9.11,D0H9.11,v_D0H9.11,a_D0H9.11,12.298044347135733,12.397211299999999,4.800057133018264,0.11506518604111868,0.3062245371564128,15.964570227514267,13.450751288165646,11.090058709678079,38782,15498,38474,15806,10.0
D0,H12.13,D0H12.13,v_D0H12.13,a_D0H12.13,11.548094704922544,11.55555556,4.582391845351802,0.1061557123832087,0.36926984440115407,15.360875641440051,13.03201932659514,10.23570926732479,40553,13727,40247,14033,10.0
D0,H14.15,D0H14.15,v_D0H14.15,a_D0H14.15,11.578945170579503,11.56330532,4.632264218125031,0.10611371543840437,0.3678537149607462,15.509664387925335,13.114672624881704,10.233724958707995,40633,13647,40360,13920,10.0
D0,H16.18,D0H16.18,v_D0H16.18,a_D0H16.18,11.589345044748141,11.548096619999999,4.650270058048771,0.10801789573307029,0.37136318317773953,15.794660455415517,13.287462149717125,10.297435878394358,44132,10148,43843,10437,10.0
D0,H19.22,D0H19.22,v_D0H19.22,a_D0H19.22,11.931709419716043,11.93478261,4.681943982426113,0.11259316229029304,0.33995494573008395,16.36697376071887,13.579239147421504,10.61308689015902,43947,10333,43680,10600,10.0
D1,H0.6,D1H0.6,v_D1H0.6,a_D1H0.6,13.313401661600844,13.48933811,5.062496108917641,0.11495860050020962,0.23876831628421344,16.73374275129264,14.333315987398306,11.622875526870555,28936,25344,28624,25656,10.0
D1,H7.8,D1H7.8,v_D1H7.8,a_D1H7.8,11.550836677427386,11.56932121,4.480040991712846,0.12045056357181774,0.35792292344849314,14.351438059683808,12.469267947790637,10.5723150013885,38092,16188,37811,16469,10.0
D1,H9.11,D1H9.11,v_D1H9.11,a_D1H9.11,11.74127311873472,11.74787,4.515841421632507,0.10908997695931127,0.3441086027150679,15.077910716325185,12.835458629096044,10.654313253062805,39999,14281,39667,14613,10.0
D1,H12.13,D1H12.13,v_D1H12.13,a_D1H12.13,11.58950854567613,11.54545455,4.622796615256103,0.10829267146973251,0.3662196429038245,14.986704403417907,12.819482544168395,10.355407100926216,38253,16027,37945,16335,10.0
