parking_id,capacity,occupancy,timestamp,occupancy_ratio,lag30_ratio,lag60_ratio,delta30_ratio,delta60_ratio,hour_sin,hour_cos,weekday,is_weekend,desired_future_time,future_timestamp,future_occupancy,future_capacity,future_occupancy_ratio,currently_saturated,future_saturated,will_become_saturated_soon,target_offset_minutes
BHMNCPPLS01,450,76,2016-10-04 07:46:28,0.1688888888888889,,,,,0.894934361602025,-0.4461978131098088,1,0,2016-10-04 08:16:28,2016-10-04 08:25:42,82.0,450.0,0.18222222222222223,False,0,0,39.233333333333334
BHMBCCMKT01,577,61,2016-10-04 07:59:42,0.10571923743500866,,,,,0.8681988144891423,-0.49621650367520825,1,0,2016-10-04 08:29:42,2016-10-04 08:25:42,64.0,577.0,0.11091854419410745,False,0,0,26.0
Others-CCCPS98,3103,588,2016-10-04 07:59:42,0.1894940380277151,,,,,0.8681988144891423,-0.49621650367520825,1,0,2016-10-04 08:29:42,2016-10-04 08:25:42,678.0,3103.0,0.21849822752175313,False,0,0,26.0
Others-CCCPS8,1322,445,2016-10-04 07:59:42,0.33661119515885024,,,,,0.8681988144891423,-0.49621650367520825,1,0,2016-10-04 08:29:42,2016-10-04 08:25:42,478.0,1322.0,0.3615733736762481,False,0,0,26.0
BHMBCCSNH01,863,177,2016-10-04 07:59:42,0.20509849362688296,,,,,0.8681988144891423,-0.49621650367520825,1,0,2016-10-04 08:29:42,2016-10-04 08:25:42,253.0,863.0,0.2931633835457706,False,0,0,26.0
Others-CCCPS202,2937,547,2016-10-04 07:59:42,0.18624446714334356,,,,,0.8681988144891423,-0.49621650367520825,1,0,2016-10-04 08:29:42,2016-10-04 08:25:42,665.0,2937.0,0.22642151855635,False,0,0,26.0
Others-CCCPS135a,3883,1081,2016-10-04 07:59:42,0.27839299510687615,,,,,0.8681988144891423,-0.49621650367520825,1,0,2016-10-04 08:29:42,2016-10-04 08:25:42,1467.0,3883.0,0.3778006695853721,False,0,0,26.0
BHMBCCTHL01,387,120,2016-10-04 07:59:42,0.31007751937984496,,,,,0.8681988144891423,-0.49621650367520825,1,0,2016-10-04 08:29:42,2016-10-04 08:25:42,129.0,387.0,0.3333333333333333,False,0,0,26.0
Others-CCCPS133,4675,804,2016-10-04 07:59:42,0.17197860962566844,,,,,0.8681988144891423,-0.49621650367520825,1,0,2016-10-04 08:29:42,2016-10-04 08:25:42,911.0,4675.0,0.1948663101604278,False,0,0,26.0
BHMBRCBRG01,1010,70,2016-10-04 07:59:42,0.06930693069306931,,,,,0.8681988144891423,-0.49621650367520825,1,0,2016-10-04 08:29:42,2016-10-04 08:25:42,88.0,1010.0,0.08712871287128712,False,0,0,26.0
